Sample Number,Date Sampled,Prospect,Easting,Northing,"Elevation 
(m)",UTM Grid,"QC 
Category","Standard 
Type","Rock 
Type",Lithology,"Regional 
Unit",Alteration,Min 1,Min 2,Min 3,Structure,Strike,Dip,"Sample 
Type",Occurrence,Description
222143,04/21/2023,West,677400,5503125,1425,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,,,,Chip,Outcrop,"0.0 to 1.5 m. Rock chip series across bedrock exposed in 3 sumps excavated at the Axe west Zone. North edge. Mal and black stained diorite, strongly sericitized. Sampled East to West, at 235 degrees. Gaps in sample series are where overburden was not removed."
222144,04/21/2023,West,677398,5503124,1425,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,,,,Chip,Outcrop,"1.5 to 3.0 m. Malachite and neosotite stained broken and crushed diorite, strongly sericitized. Sump1"
222145,04/21/2023,West,677394,5503121,1423,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"5.5 to 7.0 m. Malachite speckled crushed diorite, fault zone. No stretching of phenos or clasts, so just crushed.  Sump 2."
222146,04/21/2023,West,677393,5503119,1421,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"7.0 to 8.5 m. 7.0 to 7.5 m is crushed fault zone. Solid diorite from 7.5 to 8.0 m. Mal common, lots of probable neosotite and/or manganese coating most surfaces. Sump 2."
222147,04/21/2023,West,677388,5503116,1420,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"12.0 to 13.5 m. 8.5 to 12.0 no outcrop exposed. Entire interval is crushed dioritic fault gouge with heavy malachite and moderate neosotite, with abundant clay-zeolite muck. Sumps basically cut the fault at a slight angle, and much of the fault is between sumps 2 and 3."
222148,04/21/2023,West,677386,5503115,1420,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,MAL,CP,,Fault,240,85,Chip,Outcrop,"13.5 to 15.0 m. Entire interval is crushed dioritic fault gouge with heavy malachite and moderate neosotite, with abundant clay-zeolite muck. Some hard fragments of conglomerate or volcaniclastic with angular rhyolite clasts. Mineralization is weak in clastic rock."
222149,04/21/2023,West,677384,5503113,1420,NAD83_U10,REG,,SVI,VCL,mTrNMsv,EP,,,,,,,Chip,Outcrop,"15.0 to 16.5 m. EOL. Becomes solid, volcaniclastic with diorite matrix, rhyolite and black clasts, hard, brittle. 3 bands of crushed rock with mal to 12 cm wide. Waypoint at end of sample, maximum west."
222150,04/21/2023,,,,,NAD83_U10,Control,STD37,,,,,,,,,,,Control,Control,Standard. CM-37 (High grade)
222151,07/03/2023,Agie,692084,5513661,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,,,,,,,Chip,Outcrop,"8.0 to 10 .0 m. Sample book series jumps from 2222250 to 222151 here. Sericite to totally clay-altered granite with unaffected quartz phenocrysts. Green when highly oxidized, Mn-stained layer removed (10 cm thick). Increasingly Mn-stained northward over interval."
222152,07/03/2023,Agie,692084,5513663,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,HEM,PY,,,,,Chip,Outcrop,10.0 to 12.0 m.Clay-sericite altered MLJNgg (granite). Hematite to Mn-stained. Green unweathered areas with limonite patches. Sparse aplite-qtz stringers thoughout interval. Green alteration is chlorite-sericite combination.
222153,07/03/2023,Agie,692085,5513665,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,CP,SP,GL,,,,Chip,Outcrop,"12.0 to 14.0 m. Sericite-clay-Mn altered granite to 12.8 m, then several aplite (or rhyolite) veins 5 to 12 cm wide, one with 2% chalcopyrite at 12.8 m, with limonite-hematite oxidized edge. Granite becomes more competent, more coarse grained at 14.0. May be contact with MLJNgg.tm unit (very coarse grain Kspar megaporphyry granite, Kspars 3 to 8 cm common)."
222154,07/13/2023,North,677584,5504080,1426,NAD83_U10,REG,,SED,LMST,uTrNIsl,SIL,SP,GL,,Bedding,25,90,Grab,Outcrop,"Silicified limestone with mixed sphalerite and galena stringers, small blobs, and in wispy bands of fine disseminated sulphides. Some poarts are nearly pure quartz now, rhyolite-like but remnant enclaves and areas along the outcrop are still limestone. Best mineraliztion seems to be near the limestone contact edges. Limestone here is about 2 m thick, and seems to be part of a dismembered limestone unit. Host uTrNEscp has some scattered sphalerite at south contact."
222155,07/22/2023,,684144,5502911,1426,NAD83_U10,REG,,SVI,VCL,mJSsv,PRO,CP,,,,,,Grab,Subcrop,"Road blast rock, possible outcrop in road. Epidote veined probable MJSvs (Skwel Pekken, circa 163 Ma) volcaniclastic-tuff unit. Epidote-Kspar veins to 10 cm, more commonly 2-3 cm wide sometimes host centreline chalcopyrite veins to 3 mm thick, in various angles. Many epidote eveins in adjacent outcrop and subcrop, but more Ccp was not found. Similar to occurrence 100m north along road."
222156,08/12/2023,East,687741,5503998,1329,NAD83_U10,REG,,INT,APLT,MLJNgg.tm,PRO,MAL,,,,,,Grab,Float,"Very angular, rectangular slab of quartz vein or aplite, pure white, with biotite-chlorite lined fractures or altered mafic schlieren bleeding malachite. 12 cm thick (if vein, following fractures), by 15 cm long and 12 cm wide. Seems to be massive white feldspar more than quartz, possibly from a pegmatite phase of the granite. The 'vein' is almost certainly MLJNgg-related, however all aplite noted in area (fairly common) is pink and barren. A search of the immediate area turned up no further similar vein float. Alteration of the megacrystic granite (and local two-feldspar megacrystic syenite) in this area is almost non-existent. Mostly interested to see if any gold occurs in this sample."
222157,08/17/2023,East,685594,5500454,1373,NAD83_U10,REG,,INT,GND,MLJNgg,GEI,,,,,,,Grab,Subcrop,"Boulders, 0.2 m to 0.3 m, angular, apparently excavated while road building crossing over fault zone. Strong mucovite and chlorite alteration of granite feldspars, greasy pale green-yellow crystals, possibly fluorite. Very potassic based on XRF tests (7.5 % K2O, 250-750 ppm Rb))"
222158,08/25/2023,1516,681089,5502659,1292,NAD83_U10,REG,,INT,DIO,LTrCmz,HRNF,CP,PY,,,,,Grab,Subcrop,"Subcrop at contact of EJWgg with LTrCmz (or maybe Nicola conglomerate) breccia with biotite-actinolite hornfels and epidote. Chalcopyrite in fractures and disseminated as dust sized grains near the contact, in the host rock. Intrusive is barren, contact sharp (as seen in subcrop). Disseminated pyrite 1 to 5 %, concentrated nearer the contact area 2 to 3 m wide."
222159,09/09/2023,Comet,682990,5497099,1287,NAD83_U10,REG,,SVI,RHY,lKSPvr,SKN,CP,SP,PY,,,,Grab,Outcrop,"Outcrop in road ditch. Rhyolite breccia with wine-maroon irridescent sphalerite in (mostly) angular fracture fills and also stockwork, 3 mm to 6 mm wide. Patches of disseminated chalcopyrite locally, but rare. Malachite on fresh breaks seems associated with pyrite, which is up to 1 % mostly finely disseminated. Several rotted-out veins to 3 m wide also occur, which are anomalous to strongly mineralized by Cu, Zn, W, Bi, Cd by XREF. The matrix is very high in tungsten (1500-5000 ppm) especially where dark."
222160,,,,,,NAD83_U10,Control,BLK-SiO2,,,,,,,,,,,Control,Control,"Blank, SiO2."
222161,09/09/2023,Comet,682990,5497108,1290,NAD83_U10,REG,,SVI,RHY,lKSPvr,,CP,SP,PY,,,,Grab,Subcrop,"Float boulder, angular, 0.3 m, local to area, displaced subcrop. Rhyolite with 1.2 cm wide quartz-chalcopyrite-pyrite vein plus pure chalcopyrite veinlets to 3 mm cross-cutting entire boulder. Disseminated fine grains of sphalerite also, some of which is amber and transparent, resembling titanite, and some other which is marroon. The larger vein is similar in envelope to the rotten veins a few m south. "
222162,09/10/2023,Comet,682988,5497105,1290,NAD83_U10,REG,,SVI,RHY,lKSPvr,,CP,SP,PY,,,,Grab,Outcrop,"Grab of high grade, dark rhyolite breccia/crush. Hosts fine-grained disseminated chalcopyrite, perhaps up to 1 % locally, plus thin sphalerite veinlets and irregular blobs to 2 cm, and 1 % pyrite. The rock is very heavy, with dark grey bands to 10 cm thick especially mineralized, or are sometimes grey quartz (similar to Pearl). Large boulder-slab rolled out of outcrop at road edge."
222163,09/11/2023,Beyer,681387,5513434,,NAD83_U10,REG,,VN,VN,,,EN,CP,BI,,,,Grab,Outcrop,"Grab of mineralized, hard, heavy vein material from the centre of the X at the Beyer trench. A 1/2 season of rain has washed the outcrop and exposed blebby and patchy disseminated enargite. Rare segmented, tiny chalcopyrite veinlets also traverse the quartz, which report very high bismuth by XRF (to maximum 7000 ppm), 500 ppm Sb. No high arsenic was detected by XRF except in enargite blebs."
222164,10/01/2023,East-Hilltop,684328,5501954,1505,NAD83_U10,REG,,SKRN,SKRN,MLJNdg,,MG,PY,CP,,,,Grab,Outcrop,"Limonitic patch of outcrop maybe 5 m long and 10 to 40 cm wide of magnetite-garnet skarn with somewhat vein-like morphology. Trace mal, up to 50% pyrite with massive magnetite. Very high cobalt by XRF. Huge area or outcrop scoured but no more alteration noted to west, east, and south. Hosted in med grain diorite which is probably MLJNd and resembles andesite locally. Also resembles CuMtn diorite locally."
222165,09/29/2023,Comet,682977,5497089,1277,NAD83_U10,REG,,SVI,RHY,lKSPvr,,CP,SP,PY,,,,Grab,Subcrop,"Boulder, 1 m , with 30 cm wide gossanous zone. When broken much malachite and manganese stain exposed. Py %, trace Ccp. Rock was grey when fresh broken, but surfaces turned black overnight. Seems to be rhyolite breccia."
222166,09/29/2023,Comet,682977,5497091,1277,NAD83_U10,REG,,SVI,RHY,EJWgg,GEI,SP,,,,,,Grab,Float,"Boulder, 0.4 m, of massive griesen rotten granite. When split in half, one half was 3/4 of the weight of the boulder and so was sampled. Black sphalerite in coarse grains makes up to 10 % of the rock, concentrated in the rotten part."
222167,09/28/2023,1516,680136,5501664,599,NAD83_U10,REG,,INT,MZN,LTrCdmz,PRO,CP,PY,,,,,Grab,Subcrop,"Grab from sump at lower drill site. Abundant mal, limonite. 1% diss and stringer pyrite, blebby patches of fine grain chalcopyrite."
222168,10/29/2023,1516,680385,5501819,1150,NAD83_U10,REG,,INT,APLT,EJWgg,,PY,MO,,,,,Grab,Subcrop,"Talus of aplite, rhyolite, granite and various breccia mixtures occurs between where massive granite and massive rhyolite talus occurs, marking the approximate contact. Here aplite-dominated breccia hosts clear quartz veins 1 mm to 1 cm with disseminated molybdenite in the quartz and as a patchy blebby halo around the veins for up to 1 cm. Barren-looking white quartz veins to 8 cm wide host rare molybdenite rosettes up to 5 mm accross occur. The rhyolite is flow banded, quenched on granite, and has no quartz veins at all."
222169,11/01/2023,Comet,682979,5496911,1284,NAD83_U10,REG,,INT,DIO,MLJNd,HRNF,CP,PY,,,,,Grab,Subcrop,"Boulder, 0.6 m, angular. Blasted from outcrop at road cut. Hosts fine disseminated chalcopyrite blebs and very thin pyrite-chalcoprite fracture-stringers. Rare dusty chalco disseminations occur locally. Most of the road cut rocks are the same lithology but have only trace pyrite and no noteable Ccp. The host diorite is quenched (primary)and moderately hornfelsed (secondary) with fine actinolite-biotite dust up to 10 % replacing mafic grains and domains. The rock looks much finer grained than it is due to alteration. Lumpy weathering on one surface attracted attention."
222170,11/01/2023,Comet,682934,5496602,1275,NAD83_U10,REG,,INT,DIO,MLJNd,HRNF,SP,GL,,,,,Grab,Subcrop,"Boulder, 0.35 m, angular, lumpy weathering and faintly banded. Same diorite as sample 222169 occurs in subcrop along road. Boulder has 5 cm vein of sphalerite with intermixed galena and dusty galena bands. Coarse pyrite occurs in veinlets and fracture coatings. This boulder was weakly limonitic. The diorite could be MLJNd, but maybe is EJWd?"
222171,11/01/2023,Comet,682378,5497025,1186,NAD83_U10,REG,,INT,APLT,EJWgg,,PY,CP,,,,,Grab,Float,"Rhyolite-like aplite cobbles and boulders are very common in road cut, and are probably blasted outcrop/subcrop. All is weakly limonitic on weathered surfaces. Trace to 0.5 % pyrite and rare chalcopyrite. Runs 200 to 550 ppm ppm Cu by XRF. Pyritic granite float identical to the Pearl outcrop is also very common in the area. Aplite has no Zinc."
222172,11/10/2023,Comet,682356,5496939,1187,NAD83_U10,REG,,INT,APLT,EJWgg,SIL,CP,,,,,,Grab,Float,"Quenched, fine grain granite with slightly more coarse grain than should be called aplite. Limonitic-weathering pyritic granite float  is abundant here around a pullout at the 67.5 sign on the Jura FSR. Some boulders have fracture-controlled blackjack sphalerite with coarse pyrite in some later fractures, and fine grained marroon sphalerite locally replaces plagioclase phenos, one at time, and occurs as rare blebs and tiny 1-2cm long fractures mixed with very fine grain molybendite (extra rare)."
222173,11/11/2023,Dry Creek,681148,5498263,923,NAD83_U10,REG,,INT,APLT,EJWgg,SIL,CP,GL,SP,,,,Grab,Outcrop,"Gossanous outcrop along old road. Weak malachite on some rocks. Qtz-cxarbonate veined rock hosts galena and probably sphalerite, and chalcopyite stringers. Most rocj hosts 2 to 5 % pyrite and trace chalcopyrite. Several similar smaller gossans were noted upsteam for a few hundred meters, and considerable amounts of gossanous breccia boulders to 1.2 m lay along the road and creek bank in that area."
222221,05/25/2023,West,676885,5503910,1446,NAD83_U10,REG,,VCB,SS,uTrNIss,QSP,PY,MAL,,,,,Grab,Float,"Numerous Fe-Ox boulders 20-40 cm at base of sandstone outcrop. Pyrite 2 to 5%, trace malachite in fractures locally. May be limestone contact-related."
222222,05/25/2023,West,677312,5504331,1452,NAD83_U10,REG,,INT,DIO,LTrChd,QSP,PY,CP,,,,,Grab,Outcrop,"QSP-altered diorite. Py 2 to 3% disseminated and blebs. Fe-limonite weathering. 2 blebs of chalcopyrite noted, seem rare. Very altered."
222223,05/25/2023,West,677304,5504311,1460,NAD83_U10,REG,,INT,DIO,LTrChd,QSP,PY,CP,MAL,,,,Grab,Outcrop,Very strongly QSP-altered diorite. Py 2 to 3% disseminated and blebs. Fe-limonite weathering. Large outcrop. Two small pits at top of ridge. Trace chalcopyrite and malachite
222224,06/01/2023,Dillard,682801,5514412,1423,NAD83_U10,REG,,INT,DIO,LTrChd,SCC,CP,MAL,,,,,Grab,Subcrop,"Strongly mineralized diorite found at potential drill site while doing archealogy survey. Strongly sericitized, malachite, stringer and disseminated chalcopyrite. "
222225,06/02/2023,Southeast,682947,5496842,1286,NAD83_U10,REG,,INT,TON,EJWgt,SKN,PY,,,,,,Grab,Subcrop,"Gossanous subcrop in excavated road intersection. Most of rock is unaltered MLJNgd+/- MJSvr (granodiorite with rhyolite breccia). Gossanous rock seems to be EJWgt (tonalite) and is hornfelsed to weak skarn, including garnets. Hornfels is pervasive fine biotite-actinolite alteration infilling the matrix. Pyrite to 10% in gossanous rock, stringers, blebs, disseminated, fine grained to coarse. Grab of pyritic rock. 5 % py."
222226,06/07/2023,West,677415,5504198,1441,NAD83_U10,REG,,VCB,VCL,uTrNIsv,,BI,HS,,,,,Grab,Outcrop,Outcrop and subcrop of Nicola tuff and volcaniclastic sediment hosting irregular coarse grain biotite- specular hematite veins with coarse sheeted and platy biotite texture. 'Bt-Spec' veins to 1 cm thick with very coarse grain (1 cm2 sheets). Very similar to sample 222XXX from Axe west Zone drill site which returned 3.5 g/t Au in 2022.
222227,06/09/2023,Eclipse,686363,5512495,1622,NAD83_U10,REG,,INT,GND,EJWgd,QSP,PO,CP,,Chip,220,,Chip,Outcrop,"0.0 to 2.5 m. (1 of 2). Start point is coordinate. 5 m total chip sample heading 220 degrees. Quenched EJWgd with disseminated and blebby Pyrrhotite and chalcopyrite to 0.5 % average but to 1 cm veins locally (mostly within rotten actinolite sprays. Magnetite locally. Resembles rhyolite but has weak feldspar texture where not bleached white. Limonite-goethite, no malachite."
222228,06/09/2023,Eclipse,686361,5512493,1623,NAD83_U10,REG,,INT,GND,EJWgd,QSP,PO,CP,,Chip,220,,Chip,Outcrop,2.5 to 5.0 . (2 of 2). Start point of interval is coordinate. Same alt-lith-min as sample 222236. Some preferential chalcopyrite + pyrrhotite in medium-white bleached rock.
222229,06/09/2023,Eclipse,686318,5512316,1667,NAD83_U10,REG,,INT,GAB,LTrCdg,PRO,CP,,,,,,Grab,Outcrop,Intermingled LTrChd (hornblende diorite) and LTrCdg (gabbro). Disseminated chalcopyrite blebs averaging 1 mm to 0.7 % in the diorite phase. Veins with mixed actinolite and chalcopyrite also which are very similar to Leeside area mineralization. Grab of mineralized subcrop at edge of outcrop crushed by forestry machinery.
222230,06/11/2023,Agie,692094,5513670,1315,NAD83_U10,REG,,VN,VN,MLJNgg,SCC,CP,SP,GL,,,,Grab,Subcrop,"Grab of vein subcrop on east side of large historic pit. Extensive alteration and many small vein orientations. A large vein cuts the pit roughly east-west(?) and this is the east end where it goes under overburden. The large vein is open past both sides of the pit (~ 25 m across). Very heavy sphalerite-galena and strong network chalcopyrite veining cuts the Zn-Pb sulphides. Vein-y to blebby coarse pyrite locally. Massive sphalerite-(+/-galena) bands to 4 cm thick. Heavy manganese (Mn) staining. Ccp 2 %, Sph 8 %, Ga 1 %, Py 2 %, within rhyolite-aplite, within MLJNgg. Patchy pale green alteration, (amazonite?, sericite-chlorite). This is a new-to-us pit between the 2022 Agie showings, about 70 m south of the Agie Adit-pit, formerly almost-on-the-claim-boundary, but now well-staked in."
222231,06/21/2023,Agie,693063,5516534,1354,NAD83_U10,REG,,VN,VN,EPvif,FEOX,CP,PY,HS,,,,Grab,Outcrop,"Grab of vein rubble from 15 cm vein dipping steeply east across rubbly, weathered outcrop exposed by road. Old sample (not ours) from Sept 3, 2022 here, # 36141 SG). Vein is jet black, manganese-coated, with limonite on fresh breaks. Vein is very rotten but some chalcopyrite and pyrite remain. Posiible specular hematite veins. Host rhyolite outcrop is more grey than usual for EPvif, wheich tends to be faintly cream-yellow and towards yellow-brown as it weathers. Outcrop is cut by a green rhyolite dyke 80 cm wide adjacent to site."
222232,06/21/2023,Agie,693075,5516403,1354,NAD83_U10,REG,,VN,VN,EPvif,FEOX,CP,GL,,,,,Grab,Subcrop,"Grab of vein material in float and subcrop where culvert was excavated for creek crossing (probably the vein host structure). Jet black angular subcrop boulders of vein to 25 cm suggest about a 30 cm wide vein is here. 2 % chalcopyrite, some galena. Very rotten, black with rust rock very common, need to break to see sulphides. Larger area of manganese staining here than at sample 222231. Vein morphology here is very similar to ""Daly Veins"" that occur in the Sulfurettes camp around the similarily-aged Lee Brant Stock (near Eskay Creek). Hosted in EPvif rhyolite."
222233,06/21/2023,Agie,692083,5513656,1309,NAD83_U10,REG,,VN,VN,MLJNgg,FEOX,CP,SP,GL,Chip,112,,Chip,Outcrop,"2.0 m chip. West side of very large historically excavated pit to bedrock. Outcrop of MLJNgg hosts a polymetallic vein system with several mineralized orientations. Spectacular network chalcopyrite minerlaization occurs within incredible amounts of intermixed sphalerite and galena within quartz-rhyolite-aplite veining and breccia. Originally thought to be cutting the vein, it appears from later follow-up to be following the main vein, although it is ~ 90 degrees to the largest structure exposed in the pit area. Biggest Structure 160/-40. Another small structure 116/-80."
222234,06/22/2023,West,677341,5504269,1451,NAD83_U10,REG,,INT,MZN,LTrCmz,QSP,PY,,,,,,Chip,Outcrop,"Chip sample over 1.5 m along road. Auto breccia of medium-grain LTrCmz. QSP-altered. Pyrite 5 to 8 %. Breccia clast average 1.0 cm. Limonitic weathering, no malachite. Intruded by microdiorite-andesite dyke striking 260/-90(?), late dyke, possibly Eocene, and noted in drill core at Axe and MPD)."
222235,06/23/2023,Agie,692430,5514601,1251,NAD83_U10,REG,,VN,VN,MLJNgg,FEOX,HS,SP,GL,Vein,50,45,Grab,Outcrop,Vein and crush zone total 0.4 m wide. Siliceous vein within crush zone has massive specular hematite (plus galena and sphalerite?) as well as perfect cubes of pyrite to 6 mm on a side. Crush zone is very limonitic. Grab of 10 cm central vein to characterize mineralization and to check for vein-metal zonation around Agie area.
