Sample_Number,Waypoint,Date_Sampled,Year,Prospect,Easting,Northing,Elevation_(m),UTM_Grid,QC_Category,Standard_Type,Rock_Type,Lithology,Regional Unit,Alteration,Min_1,Min_2,Min_3,Structure,Strike,Dip,Sample_Type,Occurrence,Description,Certificate,Certificate completed,Ag ppm Ag-OG62,Ag ppm ME-MS61,Al % ME-MS61,As ppm ME-MS61,Au ppm Au-AA24,Ba ppm ME-MS61,Be ppm ME-MS61,Bi ppm ME-MS61,Ca % ME-MS61,Cd ppm ME-MS61,Ce ppm ME-MS61,Co ppm ME-MS61,Cr ppm ME-MS61,Cs ppm ME-MS61,Cu % Cu-OG62,Cu ppm ME-MS61,"Digest_Run NA 
Pb-OG62","Digest_Seq NA 
Pb-OG62",Fe % ME-MS61,Ga ppm ME-MS61,Ge ppm ME-MS61,Hf ppm ME-MS61,In ppm ME-MS61,"Instr_Run NA 
Pb-OG62","Instr_Seq NA 
ME-ICP61i","Instr_Seq NA 
Pb-OG62",K % ME-MS61,La ppm ME-MS61,Li ppm ME-MS61,Mg % ME-MS61,Mn ppm ME-MS61,Mo ppm ME-MS61,Mo ppm ME-MS61 status,Na % ME-MS61,Nb ppm ME-MS61,Ni ppm ME-MS61,P ppm ME-MS61,Pass2mm % CRU-QC,Pass75um % PUL-QC,Pb % Pb-OG62,Pb ppm ME-MS61,Rb ppm ME-MS61,Re ppm ME-MS61,Recvd Wt. kg WEI-21,Rmnd2mm % CRU-QC,Rmnd75um % PUL-QC,S % ME-MS61,Sb ppm ME-MS61,Sc ppm ME-MS61,Se ppm ME-MS61,Sn ppm ME-MS61,Sr ppm ME-MS61,Ta ppm ME-MS61,Te ppm ME-MS61,Th ppm ME-MS61,Ti % ME-MS61,Tl ppm ME-MS61,U ppm ME-MS61,V ppm ME-MS61,W ppm ME-MS61,WT. + Frac Entire g CRU-QC,WT. + Frac Entire g PUL-QC,WT. - Frac Entire g CRU-QC,WT. - Frac Entire g PUL-QC,WT. SAMPLE g Ag-OG62,WT. SAMPLE g Au-AA24,WT. SAMPLE g Cu-OG62,WT. SAMPLE g ME-ICP61i,WT. SAMPLE g ME-MS61i,WT. SAMPLE g Pb-OG62,WT. SAMPLE g Zn-OG62,WT. Total g CRU-QC,WT. Total g PUL-QC,Y ppm ME-MS61,Zn % Zn-OG62,Zn ppm ME-MS61,Zr ppm ME-MS61
222235,222235,06/23/2023,2023,Agie,692430,5514601,1251,NAD83_U10,REG,,VN,VN,MLJNgg,FEOX,HS,SP,GL,Vein,50,45,Grab,Outcrop,Vein and crush zone total 0.4 m wide. Siliceous vein within crush zone has massive specular hematite (plus galena and sphalerite?) as well as perfect cubes of pyrite to 6 mm on a side. Crush zone is very limonitic. Grab of 10 cm central vein to characterize mineralization and to check for vein-metal zonation around Agie area.,VA23193584,08/19/2023,,2.58,5.61,1.7,0.091,660,1.43,2.95,0.09,1.93,50.2,4.3,14,3.53,,29.9,,,7.19,13,0.12,0.2,0.895,,237,,3.35,29.1,22.8,0.15,2180,4,,0.11,4.9,1.6,230,,,,704,138,0.002,2.28,,,0.74,2.5,1.6,1,2.5,35.6,0.26,0.025,4.21,0.085,1.79,1.5,16,51.3,,,,,,47.857,,0.228,0.228,,,,,6.8,,1860,6.9
222236,222236,06/23/2023,2023,Agie,692447,5514835,1256,NAD83_U10,REG,,VN,VN,MLJNgg,FEOX,HS,,,Vein,345,85,Chip,Outcrop,"1.2 m chip across 15 cm wide vein and alteration halo of intense clay-sericite-jarosite-limonite altered MLJN granite. A second, smaller vein occurs 15 m north along road, with a 040/-40 orientation. An old road goes up the slope here, and there is old trenching at this site and around area.",VA23193584,08/19/2023,,1.76,5.57,1.2,0.005,650,1.53,2.72,0.31,1.06,47.5,5,14,4.99,,22.5,,,10.6,12,0.13,0.2,1.145,,239,,2.62,30.4,42.1,0.13,2470,3.24,,0.06,4.2,2.2,250,,,,253,121.5,0.003,2.5,,,0.01,1.65,1.8,1,6.4,31.7,0.22,0.025,4.12,0.094,1.68,1.2,17,95,,,,,,47.14,,0.232,0.232,,,,,9.8,,1610,6.3
222237,222237,06/23/2023,2023,Agie,691850,5514543,1365,NAD83_U10,REG,,VN,VN,MLJNgg,FEOX,PY,SP,GA,,,,Grab,Float,"Boulder, 0.3 m, angular. 8 cm vein of massive coarse grain pyrite (80% of vein) with 2 % sphalerite+/-galena, and some more in the host rhyolite-aplite. This is the most coarse pyrite yet seen in the Agie. Mn-Fe stained float very common in area, and a vein (or two) is suspected along the road here.",VA23193584,08/19/2023,,21.2,3.31,4.2,0.493,300,0.9,6.91,0.08,8.85,13.45,9.1,18,3.64,,297,,,7.06,10.45,0.07,0.8,5.09,,240,,1.2,7.9,49.4,0.1,1885,15.85,,0.03,3.1,2.4,270,,,,5040,84.9,0.001,2.08,,,4.06,4.68,2.1,2,2.1,43.9,0.26,0.17,2.29,0.085,1.05,2.5,20,8.2,,,,,,48.166,,0.225,0.225,,,,,5.5,,5440,26.8
222238,222238,06/23/2023,2023,Agie,691741,5514546,1377,NAD83_U10,REG,,VN,VN,MLJNgg,FEOX,PY,,,,,,Grab,Subcrop,"Boulders ripped up in road contruction. Mn-stained and green altered granite (sericite-chlorite-clay). Some vein-like pieces with specular hematite in stockwork veinlets. Construction has barely pentrated the weathered outcrop surface. Granite in vicinity is weakly clay altered, Fe-Mn stains are obvious. Local trace pyrite.",VA23193584,08/19/2023,,1.29,3.46,5.6,0.0025,390,1.29,1.26,0.29,1.73,26.4,12.8,24,2.99,,50,,,6.4,8.7,0.08,0.2,0.865,,241,,1.57,15.4,37.4,0.09,2070,2.96,,0.51,3.6,1.7,140,,,,405,72,0.001,2.14,,,0.53,4.7,1.2,1,7.8,36.5,0.25,0.025,3.48,0.051,0.92,3.8,9,22.2,,,,,,48.637,,0.236,0.236,,,,,6,,1500,4.9
222239,222239,06/23/2023,2023,West,677476,5504041,1448,NAD83_U10,REG,,VN,VN,mTrNMsv,HEM,HS,CP,,,,,Grab,Outcrop,"Specularite after massive biotite veins, with chalcopyrite blebs and veinlets 2%. Massive specular hematite 5 to 50% of slabs pulled from talus. Branching vein strikes 075/-90 on average, but is lost in talus quickly downslope and overburden upslope.",VA23193584,08/19/2023,,4.45,4.85,10.8,0.677,1090,0.28,0.8,0.43,0.03,11.1,63.7,26,0.71,,6940,,,25,13.4,0.22,1.2,0.185,,242,,1.41,5.4,12.8,1.67,925,3.45,,0.26,2.1,19.4,720,,,,8.1,36.9,0.007,2.2,,,0.77,2.7,17.1,6,1.3,55,0.12,0.35,1.05,0.278,0.17,1.1,155,295,,,,,,48.771,,0.248,0.248,,,,,7.2,,73,39.8
222240,,,2023,,,,,NAD83_U10,Control,BLK-SiO2,,,,,,,,,,,Control,Control,SiO2 Blank,VA23193584,08/19/2023,,0.17,0.14,0.5,0.0025,20,0.05,0.2,0.01,0.02,3.35,0.6,28,0.11,,24.7,,,0.51,0.39,0.025,0.6,0.018,,243,,0.03,1.9,4.5,0.01,57,2.4,,0.02,0.4,1.3,10,,,,14.6,1.4,0.001,0.66,,,0.01,0.22,0.2,1,0.1,2.1,0.08,0.025,0.85,0.008,0.01,0.2,2,1.4,,,,,,48.596,,0.224,0.224,,,,,1,,15,16.8
222241,222241,06/23/2023,2023,West,677448,5504034,1457,NAD83_U10,REG,,VN,VN,LTrChd,HEM,HS,,,,,,Grab,Outcrop,"Outcrop and subcrop of blasted roadside outcrop. LTrChd unit is chloritic  and has local veining, foliation infill, and irregular blobs (probably former clasts) of massive specular hematite apparently after biotite up to 3 cm thick. No malachite or Fe stains at all. Epidote shares some fractures as Spec-Bt. May be in brecciated contact with uTrNEHscp conglomerate unit here. Roughly along strike with sample 222239.",VA23193584,08/19/2023,,0.06,6.95,17.2,0.009,2030,0.47,0.77,3.36,0.06,17.3,43.7,51,0.36,,18.7,,,7.81,18.55,0.09,1.2,0.079,,244,,2.3,8.7,15.3,2.37,1290,0.93,,0.91,1.3,30,1060,,,,8.3,26.5,0.001,2.3,,,0.5,3.06,21,5,0.6,537,0.08,0.16,1.33,0.28,0.23,0.9,205,3.7,,,,,,48.391,,0.24,0.24,,,,,13.2,,70,39.1
222242,222242,06/27/2023,2023,East,684213,5503002,1435,NAD83_U10,REG,,VN,VN,mJSsv,EP,CP,MAL,,,,,Grab,Outcrop,"Volcaniclastic-tuff sedimentary unit of Osprey group (MLJN) hosts straight veins of K-spar alteration (to 1.5 cm) with a halo of epidote (to 4 cm, usually twice  as wide epidote sides compared to K-spar centreline). Rarely, the centreline Kspar hosts chalcopyrite veinlets within it's centreline. Rarely additional chalcopyrite blebs occur near the veins. Here, about 1% total chalcopyrite in a 2 m area. Hard to find any others. Large exposed outcrop to south examined but nothing found on weathered surface. This host unit resembles LTrCd and EJWgd locally, and may locally contain numerous clasts of each.",VA23193584,08/19/2023,,0.75,8.16,3.3,0.016,1390,1.18,1.08,5.39,0.34,32.9,14.5,7,2.64,,489,,,4.7,23.1,0.11,1.7,0.133,,245,,1.8,14.4,10.1,1.13,2410,0.64,,2.3,7.1,2.9,1480,,,,26.6,45.6,0.001,1.74,,,0.03,3.13,15.4,4,1,587,0.44,0.29,4.35,0.556,0.69,2.4,101,6.5,,,,,,47.827,,0.231,0.231,,,,,21.3,,128,57.9
222243,222243,06/28/2023,2023,South/West,677677,5500937,1345,NAD83_U10,REG,,VN,VN,LTrChd,EP,CP,,,,,,Grab,Subcrop,"Boulders, angular, to 0.8 m. Probably removed from regolith during road construction. Magnetite-epidote veins, some with centreline chalcopyrite, but most chalcopyrite is in actinolite veins. Many boulders, much epidote veins and flooding. Host rock seems to be LTrChd. ",VA23193584,08/19/2023,,0.67,8.91,10.4,0.021,250,1.33,0.29,5.65,0.42,43.1,34.9,147,3.07,,564,,,6.58,19.35,0.13,2,0.087,,246,,1.36,19.1,13.3,3.57,1455,0.51,,2.67,4.2,84,1840,,,,7.7,34.2,0.001,2.06,,,0.09,2.84,32.2,3,1.1,408,0.22,0.1,3.18,0.586,0.33,1.2,261,0.4,,,,,,48.92,,0.223,0.223,,,,,20.5,,101,84.3
222244,222244,06/30/2023,2023,South,678395,5501768,1325,NAD83_U10,REG,,INT,DIO,LTrChd,PRO,PY,,,,,,Grab,Outcrop,"Semi-massive pyrite hosted in LTrChd breccia. Much limonite for 10+ m to east, along historic, deep, trench floor. Trench runs 110 degrees.Western-most outcrop in vicinity. Overburden is 3 m thick here.",VA23193584,08/19/2023,,1.12,6.22,6.9,0.112,220,0.71,0.97,6.86,0.36,18,63,79,0.39,,1460,,,11.95,21.9,0.15,1,0.163,,247,,0.77,8.1,3.9,3.37,753,18.65,,1.86,1.9,34,1450,,,,5.3,18.1,0.045,1.82,,,3.59,1.74,35.9,14,3.6,931,0.12,0.57,1.05,0.441,0.06,1,351,1.1,,,,,,47.4,,0.236,0.236,,,,,19.5,,40,26.7
222245,222245,07/02/2023,2023,West,677001,5502884,1406,NAD83_U10,REG,,,,,BIO,CP,,,,,,Chip,Outcrop,"0.7 m chip N-S across centre of east-west road-trench. Crushed/foliated LTrChyx (CuMtn Bx) has chalcopyrite-biotite veins irregularily but high grade. Veins within foliation 090/-90. Malachite in side fractures but none on surface. Large area of of outcrop to south with no obvious mineralization, but oxidized, and possibly argillic altered monzonite/syenite is immediately northeast.",VA23193584,08/19/2023,,1.95,9.5,14.3,0.078,1080,0.62,1.1,1.07,0.08,10.4,27.2,17,1.68,,4190,,,7.64,22.1,0.11,2,0.226,,248,,3.91,4.5,13.3,1.7,1455,3.69,,0.11,2,10.1,1150,,,,5.2,124,0.001,2.92,,,0.62,1.34,20.2,5,0.6,32.9,0.14,0.71,2.02,0.362,0.67,1,230,1.8,,,,,,47.244,,0.205,0.205,,,,,13.9,,102,68.5
222246,AgieChip01,07/03/2023,2023,Agie,692081,5513653,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,,,,,,,Chip,Outcrop,0.0 to 2.0 m. Start point. Trench runs 020 from coords. Intensely sericitized and clay-altered MLJNgg (granite). Quartz phenocrysts completely unaffected.,VA23193584,08/19/2023,,0.32,7.37,3.2,0.011,1260,1.41,0.13,0.4,0.4,48.7,2.3,11,4.08,,43.2,,,1.55,16.85,0.1,0.6,0.04,,249,,4.32,26.2,5.8,0.14,1000,1.86,,1.87,14.2,1.6,310,,,,54.6,177.5,0.001,1.82,,,0.01,1.6,2.6,2,1.2,121,0.98,0.025,16.5,0.123,1.48,2.9,18,2.3,,,,,,47.405,,0.223,0.223,,,,,10.8,,203,16.6
222247,,07/03/2023,2023,Agie,692082,5513655,1303,NAD83_U10,REG,,INT,VN,MLJNgg,,,,,Vein,112,45,Chip,Outcrop,"2.0 to 3.0 m. Solid granite, bordering on MLJNgg.tm (megacystic variety), but k-spar phenos maximum 1.5 cm. Hard stop at 3.0 m when vein begins. Edge of vein strike 112/-45.",VA23193584,08/19/2023,,6.04,7.23,2.1,0.0025,1140,1.55,0.56,0.47,0.35,50.2,2.4,15,3.99,,459,,,1.71,16.75,0.1,0.6,0.151,,250,,4.1,28,5,0.13,870,2.31,,2.28,12.8,1.2,290,,,,121.5,168,0.001,1.7,,,0.06,1.24,2.4,2,1.1,123.5,0.81,0.025,22.3,0.119,1.38,3.9,17,1.5,,,,,,50.516,,0.231,0.231,,,,,10.1,,239,15
222248,,07/03/2023,2023,Agie,692082,5513657,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SIL,CP,SP,GL,,,,Chip,Outcrop,"3.0 to 6.0 m. Vein. Polymetallic, locally very high grade network chalcopyrite within semi-massive sphalerite/galena, stockwork qtz, aplite-rhyolite breccia and banded veining sections. Majority of mineraliztion is hosted within 0.7 m of both outside edges (30 to 50% sulphides). Pyrite locally appears as 8 mm blebs in large clusters. Middle of vein has many bands, breccia and about 10% sulphides on average, with local high grade pods to 20 cm. Overall average might be 2% cu, 3% Zn/Pb. Very high silver values reported by XRF (300 to 600 ppm). Chip sample 222233 taken earlier goes down vein along strike (112 degrees), and east end is where this sample begins.",VA23193584,08/19/2023,,40.5,5.72,4.6,0.056,640,1.63,15,0.1,9.59,45.7,2.5,17,6.48,,2840,,,3.68,13.8,0.11,0.4,2.84,,251,,3.56,25.5,21,0.15,1795,3.98,,0.07,11.6,1.4,210,,,,3100,186.5,0.001,5.52,,,0.99,7.14,2,2,1.4,31.5,0.99,0.025,12.85,0.09,2.41,3.9,15,5.8,,,,,,47.861,,0.246,0.246,,,,,9.9,,3070,11.4
222249,,07/03/2023,2023,Agie,692083,5513659,1303,NAD83_U10,REG,,INT,GNT,MLJNgg,SCC,CP,SP,GL,,,,Chip,Outcrop,"6.0 to 8.0 m. Strongly sericitized MLJNgg with aplite veins and breccia pieces to 15 cm. Strongly fragmented. Patchy chalcopyrite and sphalerite/galena, plus minor specularite veins and rare 1 cm rosettes.",VA23193584,08/19/2023,,16.35,6.4,2.9,0.038,1040,1.64,21.8,0.09,2.4,43.3,1.7,14,6.52,,733,,,2.61,15,0.11,0.5,1.32,,252,,4.6,23.9,14.1,0.14,1330,2.63,,0.1,13.1,1.2,220,,,,856,229,0.001,3.68,,,0.16,4.62,1.9,2,1.4,44.4,0.99,0.025,13,0.101,2.7,3.3,15,7.1,,,,,,49.026,,0.222,0.222,,,,,11.6,,1210,13.5
